product_id,sku,name,brand,variant,category,origin,weight_kg,price_eur,in_stock,rating,num_reviews,is_food,calories_per_100g,protein_g_per_100g,sugar_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g
31,SKU-000031,HomeCook Vegetable Broth Spicy,HomeCook,Spicy,Pantry & Dry Goods,Germany,4.96,92.95,Yes,3.2,2223,Yes,633.0,14.2,4.6,11.7,12.7,9.0,298.0
32,SKU-000032,PureSip Grape Juice High Protein,PureSip,High Protein,Beverages,Greece,0.5,2.82,Yes,4.6,1524,Yes,31.2,1.2,10.8,1.3,0.5,0.3,591.0
33,SKU-000033,BrewMasters Coffee Beans Light,BrewMasters,Light,Beverages,Italy,1.45,6.49,Yes,4.2,2139,Yes,32.8,0.6,10.7,1.8,2.7,2.5,305.0
34,SKU-000034,ArtisanLoaf Dinner Roll Extra Large,ArtisanLoaf,Extra Large,Bakery & Bread,France,1.21,5.12,Yes,4.0,3804,Yes,281.7,4.9,24.4,10.7,13.2,2.6,595.0
35,SKU-000035,OfficeElite Scissors Light,OfficeElite,Light,Stationery & Office,Germany,1.63,18.18,Yes,3.5,1830,No,,,,,,,
36,SKU-000036,PowerCell HDMI Cable Organic,PowerCell,Organic,Electronics & Batteries,Netherlands,0.63,39.41,Yes,3.0,949,No,,,,,,,
37,SKU-000037,ElectroBase Extension Cord Premium,ElectroBase,Premium,Electronics & Batteries,Japan,1.33,30.73,Yes,4.2,1004,No,,,,,,,
38,SKU-000038,SparkleKing Floor Cleaner Vegan,SparkleKing,Vegan,Household & Cleaning,Thailand,2.68,2.7,Yes,2.7,499,No,,,,,,,
39,SKU-000039,GlowCare Body Wash Original,GlowCare,Original,Personal Care & Beauty,Japan,0.99,9.44,Yes,3.8,3932,No,,,,,,,
40,SKU-000040,TechReady Screen Protector Reduced Sugar,TechReady,Reduced Sugar,Electronics & Batteries,Italy,1.45,39.82,Yes,4.6,708,No,,,,,,,
41,SKU-000041,RefreshCo Sparkling Water High Protein,RefreshCo,High Protein,Beverages,Brazil,1.78,5.7,Yes,4.8,2175,Yes,26.9,2.5,4.4,1.1,1.5,1.2,603.0
42,SKU-000042,SparkleKing Storage Containers Vegan,SparkleKing,Vegan,Household & Cleaning,Japan,0.33,11.99,Yes,4.8,3443,No,,,,,,,
43,SKU-000043,NutraNat Bandages Premium,NutraNat,Premium,Health & Pharmacy,India,0.47,43.42,Yes,4.6,2203,No,,,,,,,
44,SKU-000044,FrozenFresh Frozen Shrimp Light,FrozenFresh,Light,Frozen Foods,Brazil,1.12,12.15,Yes,4.6,108,Yes,74.5,15.1,3.9,10.0,4.7,4.3,515.0
45,SKU-000045,HomeCook Rice (Basmati) Low Fat,HomeCook,Low Fat,Pantry & Dry Goods,Italy,3.28,42.49,Yes,3.8,3683,Yes,694.7,19.9,12.5,69.9,3.3,1.4,655.0
46,SKU-000046,FarmGate Haddock Sugar Free,FarmGate,Sugar Free,Meat & Seafood,Canada,0.22,2.43,Yes,3.7,4945,Yes,183.6,25.1,0.0,15.3,3.2,0.7,743.0
47,SKU-000047,SparkleKing Baking Parchment Vegan,SparkleKing,Vegan,Household & Cleaning,India,2.23,2.57,Yes,4.5,30,No,,,,,,,
48,SKU-000048,VerdantVale Ricotta Multipack,VerdantVale,Multipack,Dairy & Eggs,Peru,0.59,7.09,Yes,4.6,1865,Yes,116.0,17.6,2.9,12.7,2.4,0.5,280.0
49,SKU-000049,NaturalPantry Brown Sugar Gluten Free,NaturalPantry,Gluten Free,Pantry & Dry Goods,Greece,1.37,30.0,Yes,4.5,4537,Yes,705.5,16.0,60.5,61.3,4.6,2.3,869.0
50,SKU-000050,OrganicGrove Celery Mini,OrganicGrove,Mini,Fruits & Vegetables,Colombia,1.56,2.5,Yes,4.4,557,Yes,21.6,1.4,9.2,1.2,0.3,0.2,350.0
51,SKU-000051,PrimeCut Haddock Classic,PrimeCut,Classic,Meat & Seafood,Peru,2.78,29.39,Yes,4.0,3625,Yes,177.4,15.7,0.0,21.0,3.0,1.2,1086.0
52,SKU-000052,LittleOnes Pacifier Reduced Sugar,LittleOnes,Reduced Sugar,Baby & Toddler,USA,2.35,36.37,Yes,3.7,1992,No,,,,,,,
53,SKU-000053,FrozenFresh Sorbet Vegan,FrozenFresh,Vegan,Frozen Foods,France,0.95,3.35,No,3.3,3535,Yes,342.4,7.3,11.0,13.4,33.0,0.5,862.0
54,SKU-000054,PharmaPlus Antiseptic Cream Organic,PharmaPlus,Organic,Health & Pharmacy,Canada,0.34,35.35,Yes,3.1,1801,No,,,,,,,
55,SKU-000055,NutraNat Zinc Supplement Vegan,NutraNat,Vegan,Health & Pharmacy,Greece,0.31,34.15,Yes,4.0,3972,No,,,,,,,
56,SKU-000056,EssentialCare Face Wash Light,EssentialCare,Light,Personal Care & Beauty,South Africa,1.0,17.31,Yes,4.7,366,No,,,,,,,
57,SKU-000057,GreenLeaf Green Beans Vegan,GreenLeaf,Vegan,Fruits & Vegetables,Poland,3.92,17.49,Yes,3.5,4503,Yes,54.3,0.5,13.8,0.4,0.3,0.2,703.0
58,SKU-000058,FreshMeadow Cream Cheese Value Pack,FreshMeadow,Value Pack,Dairy & Eggs,Netherlands,1.01,18.71,Yes,3.1,4932,Yes,223.0,13.8,1.5,30.4,4.8,1.0,141.0
59,SKU-000059,RadiantSelf Sunscreen SPF30 Family Pack,RadiantSelf,Family Pack,Personal Care & Beauty,Australia,0.95,31.37,Yes,3.4,906,No,,,,,,,
60,SKU-000060,DeskMate Stamps Extra Large,DeskMate,Extra Large,Stationery & Office,USA,0.32,19.27,Yes,4.3,2561,No,,,,,,,
61,SKU-000061,EssentialCare Moisturizer Value Pack,EssentialCare,Value Pack,Personal Care & Beauty,Italy,0.83,10.19,Yes,4.0,2827,No,,,,,,,
62,SKU-000062,MeadowMeats Rabbit Leg Light,MeadowMeats,Light,Meat & Seafood,Peru,2.36,98.96,Yes,4.5,4318,Yes,184.8,21.0,0.2,25.0,4.0,1.9,288.0
63,SKU-000063,PantryPro Nutmeg Economy,PantryPro,Economy,Pantry & Dry Goods,Italy,2.09,33.39,Yes,3.5,4778,Yes,561.3,19.5,39.9,97.2,4.1,1.8,628.0
64,SKU-000064,LittleOnes Baby Snack Puffs Light,LittleOnes,Light,Baby & Toddler,USA,2.33,31.34,Yes,4.1,529,No,,,,,,,
65,SKU-000065,GlobalTable Baking Soda Extra Large,GlobalTable,Extra Large,Pantry & Dry Goods,UK,2.04,44.19,Yes,3.9,2253,Yes,492.5,10.4,35.1,36.5,17.8,1.3,529.0
66,SKU-000066,VoltEdge Earphones Mini,VoltEdge,Mini,Electronics & Batteries,Greece,0.38,35.38,Yes,2.6,1946,No,,,,,,,
67,SKU-000067,HealthPlus Antiseptic Cream Original,HealthPlus,Original,Health & Pharmacy,Netherlands,0.41,22.7,Yes,4.2,3304,No,,,,,,,
68,SKU-000068,BabyBliss Baby Lotion Natural,BabyBliss,Natural,Baby & Toddler,USA,1.45,34.39,Yes,3.7,2614,No,,,,,,,
69,SKU-000069,ClearSpring Ginger Ale Premium,ClearSpring,Premium,Beverages,Peru,0.53,1.63,Yes,3.3,2388,Yes,34.7,2.6,4.4,0.8,1.9,0.8,727.0
70,SKU-000070,RadiantSelf Lip Balm Extra Large,RadiantSelf,Extra Large,Personal Care & Beauty,Brazil,0.24,5.02,Yes,4.1,313,No,,,,,,,
71,SKU-000071,NaturePick Cucumber Family Pack,NaturePick,Family Pack,Fruits & Vegetables,Netherlands,3.32,9.68,Yes,3.6,2713,Yes,25.5,3.1,1.6,1.3,0.2,0.0,342.0
72,SKU-000072,HealthPlus Cough Syrup Gluten Free,HealthPlus,Gluten Free,Health & Pharmacy,Canada,0.98,46.33,Yes,2.9,3291,No,,,,,,,
73,SKU-000073,VoltEdge Webcam Low Fat,VoltEdge,Low Fat,Electronics & Batteries,USA,0.61,51.72,Yes,3.6,1410,No,,,,,,,
74,SKU-000074,OfficeElite Binder Economy,OfficeElite,Economy,Stationery & Office,Italy,0.37,18.29,No,3.8,635,No,,,,,,,
75,SKU-000075,GreenLeaf Radish Original,GreenLeaf,Original,Fruits & Vegetables,Brazil,2.9,8.47,Yes,4.3,2677,Yes,27.2,1.7,10.5,0.9,2.3,2.1,863.0
76,SKU-000076,OceanFresh Tilapia Classic,OceanFresh,Classic,Meat & Seafood,South Africa,2.55,89.11,Yes,2.8,1136,Yes,298.3,24.5,0.4,18.2,3.1,1.3,1101.0
77,SKU-000077,CreamyFarm Heavy Cream Low Fat,CreamyFarm,Low Fat,Dairy & Eggs,Greece,1.34,3.98,Yes,3.5,1793,Yes,306.3,6.5,4.2,22.7,17.1,6.1,718.0
78,SKU-000078,KitchenEssentials Thyme Organic,KitchenEssentials,Organic,Pantry & Dry Goods,New Zealand,4.57,60.59,Yes,3.2,1861,Yes,251.1,21.4,12.5,21.0,0.3,0.2,1086.0
79,SKU-000079,ClearSpring Smoothie Light,ClearSpring,Light,Beverages,Japan,1.16,2.08,Yes,4.3,445,Yes,58.8,1.6,8.4,2.0,8.5,4.8,504.0
80,SKU-000080,CreamyFarm Mozzarella Gluten Free,CreamyFarm,Gluten Free,Dairy & Eggs,Italy,1.19,16.0,Yes,2.7,4453,Yes,94.1,9.6,4.4,12.4,0.9,0.1,968.0
81,SKU-000081,ChargePro Power Bank Gluten Free,ChargePro,Gluten Free,Electronics & Batteries,Spain,0.84,29.63,Yes,3.3,4884,No,,,,,,,
82,SKU-000082,VitalCare Zinc Supplement Spicy,VitalCare,Spicy,Health & Pharmacy,Canada,0.76,56.62,Yes,4.8,2025,No,,,,,,,
83,SKU-000083,WellLife Probiotics High Protein,WellLife,High Protein,Health & Pharmacy,India,0.79,3.39,Yes,4.6,4832,No,,,,,,,
84,SKU-000084,HomeCook Chickpeas Light,HomeCook,Light,Pantry & Dry Goods,India,3.58,73.62,Yes,4.1,226,Yes,173.4,9.3,57.3,10.2,1.6,0.7,0.0
85,SKU-000085,EssentialCare Toothbrush Light,EssentialCare,Light,Personal Care & Beauty,Poland,0.65,14.92,Yes,3.4,3978,No,,,,,,,
86,SKU-000086,NaturePet Fish Food Mini,NaturePet,Mini,Pet Supplies,USA,1.29,39.84,Yes,4.1,264,No,,,,,,,
87,SKU-000087,GreenLeaf Lemon Premium,GreenLeaf,Premium,Fruits & Vegetables,Thailand,4.15,17.82,Yes,4.4,2850,Yes,58.2,3.7,9.5,0.5,7.1,4.1,94.0
88,SKU-000088,PetPerfect Pet Brush Mini,PetPerfect,Mini,Pet Supplies,France,5.4,3.41,Yes,3.0,3111,No,,,,,,,
89,SKU-000089,VerdantVale Camembert Low Fat,VerdantVale,Low Fat,Dairy & Eggs,Japan,1.56,28.76,Yes,2.6,2770,Yes,256.6,22.4,0.8,30.1,0.3,0.3,717.0
90,SKU-000090,NutraNat Antacid Tablets Low Fat,NutraNat,Low Fat,Health & Pharmacy,India,0.73,50.45,Yes,3.9,1720,No,,,,,,,
91,SKU-000091,PureBaby Toddler Snack Mix Family Pack,PureBaby,Family Pack,Baby & Toddler,France,2.84,29.53,Yes,3.6,1906,No,,,,,,,
92,SKU-000092,WellLife Hand Sanitizer Value Pack,WellLife,Value Pack,Health & Pharmacy,Netherlands,0.52,61.99,Yes,4.6,994,No,,,,,,,
93,SKU-000093,GreenLeaf Cauliflower Classic,GreenLeaf,Classic,Fruits & Vegetables,Australia,4.12,18.61,Yes,4.4,3023,Yes,46.8,1.9,2.5,0.8,5.9,3.5,266.0
94,SKU-000094,SunHarvest Raspberry Reduced Sugar,SunHarvest,Reduced Sugar,Fruits & Vegetables,Brazil,0.18,0.57,Yes,4.2,1688,Yes,15.5,1.1,2.7,1.0,0.5,0.2,969.0
95,SKU-000095,PantryPro Soy Sauce Sugar Free,PantryPro,Sugar Free,Pantry & Dry Goods,Brazil,1.3,19.96,Yes,4.3,2151,Yes,177.5,24.9,56.5,6.6,3.7,2.3,499.0
96,SKU-000096,PureSip Orange Juice Vegan,PureSip,Vegan,Beverages,Colombia,1.01,7.87,Yes,4.6,277,Yes,49.4,2.8,4.9,0.0,1.8,0.8,684.0
97,SKU-000097,ArtisanLoaf Pita Bread Mini,ArtisanLoaf,Mini,Bakery & Bread,Poland,1.11,11.54,Yes,4.8,2965,Yes,261.6,5.5,4.8,14.1,9.7,8.2,691.0
98,SKU-000098,NaturalPantry Spaghetti Natural,NaturalPantry,Natural,Pantry & Dry Goods,USA,3.38,35.55,Yes,4.1,4428,Yes,305.6,19.2,19.0,58.4,3.5,1.4,671.0
99,SKU-000099,ChillFoods Frozen Waffles Vegan,ChillFoods,Vegan,Frozen Foods,India,2.04,25.27,Yes,2.9,2965,Yes,314.4,10.0,6.3,19.2,13.7,5.5,1141.0
100,SKU-000100,ChargePro AAA Batteries Gluten Free,ChargePro,Gluten Free,Electronics & Batteries,Brazil,0.47,54.48,Yes,4.9,3153,No,,,,,,,
101,SKU-000101,SnackHouse Fig Bars Light,SnackHouse,Light,Snacks & Confectionery,New Zealand,0.26,4.79,Yes,3.1,3980,Yes,408.2,12.3,22.1,35.1,1.3,1.3,1138.0
102,SKU-000102,WriteRight Scissors Original,WriteRight,Original,Stationery & Office,Colombia,1.89,21.49,Yes,3.1,980,No,,,,,,,
103,SKU-000103,WheatWorks Bagel Economy,WheatWorks,Economy,Bakery & Bread,Australia,0.73,5.12,Yes,4.1,1230,Yes,396.1,7.5,23.9,16.8,36.7,1.8,408.0
104,SKU-000104,SweetBite Walnuts Organic,SweetBite,Organic,Snacks & Confectionery,Italy,0.98,14.98,Yes,3.5,4557,Yes,589.1,11.3,13.0,11.3,47.5,9.7,1154.0
105,SKU-000105,DeskMate Tape Reduced Sugar,DeskMate,Reduced Sugar,Stationery & Office,Japan,1.64,9.43,Yes,3.4,1880,No,,,,,,,
106,SKU-000106,FreshFarm Watermelon Deluxe,FreshFarm,Deluxe,Fruits & Vegetables,Peru,3.01,16.64,Yes,4.9,2716,Yes,23.2,1.4,10.5,0.3,2.3,1.3,774.0
107,SKU-000107,FreshMeadow Parmesan Original,FreshMeadow,Original,Dairy & Eggs,Mexico,1.22,10.08,Yes,3.0,438,Yes,322.6,9.3,1.9,27.3,6.5,1.3,564.0
108,SKU-000108,NaturalPantry Brown Sugar Premium,NaturalPantry,Premium,Pantry & Dry Goods,France,0.37,1.12,Yes,5.0,4016,Yes,130.8,22.3,43.4,13.3,3.5,3.1,1084.0
109,SKU-000109,WriteRight Desk Organizer Family Pack,WriteRight,Family Pack,Stationery & Office,USA,1.55,1.97,Yes,2.9,21,No,,,,,,,
110,SKU-000110,FreshMeadow Sour Cream Value Pack,FreshMeadow,Value Pack,Dairy & Eggs,Poland,1.85,9.21,Yes,3.2,719,Yes,48.3,12.0,1.4,15.3,1.0,0.3,304.0
111,SKU-000111,GoldenCrust Cinnamon Roll Gluten Free,GoldenCrust,Gluten Free,Bakery & Bread,South Africa,0.38,3.13,Yes,3.7,358,Yes,337.6,9.2,2.4,1.2,57.7,3.0,470.0
112,SKU-000112,GoldenCrust Scone Extra Large,GoldenCrust,Extra Large,Bakery & Bread,Poland,1.36,8.91,Yes,4.7,3840,Yes,364.5,4.6,13.0,9.9,9.8,6.0,196.0
113,SKU-000113,KitchenEssentials Chili Flakes Spicy,KitchenEssentials,Spicy,Pantry & Dry Goods,New Zealand,3.21,8.49,Yes,2.6,4598,Yes,602.2,11.8,14.9,86.0,3.0,0.7,325.0
114,SKU-000114,TailWag Dog Treats Reduced Sugar,TailWag,Reduced Sugar,Pet Supplies,Japan,7.12,19.91,Yes,4.5,201,No,,,,,,,
115,SKU-000115,MeadowMeats Sardines Low Fat,MeadowMeats,Low Fat,Meat & Seafood,Thailand,2.8,81.72,Yes,3.1,3343,Yes,223.7,19.4,0.1,14.8,3.2,2.4,168.0
116,SKU-000116,ChillFoods Frozen Burritos Value Pack,ChillFoods,Value Pack,Frozen Foods,India,1.69,21.56,No,3.5,4663,Yes,289.6,17.4,1.8,10.3,29.4,8.4,273.0
117,SKU-000117,GreenLeaf Beetroot Multipack,GreenLeaf,Multipack,Fruits & Vegetables,Thailand,4.46,9.92,No,4.3,548,Yes,81.1,1.8,3.5,0.6,9.1,4.2,1081.0
118,SKU-000118,SeaSelect Veal Cutlet Premium,SeaSelect,Premium,Meat & Seafood,UK,2.65,45.14,Yes,4.6,424,Yes,298.5,16.1,0.4,19.4,7.7,2.2,293.0
119,SKU-000119,FrostBite Frozen Spring Rolls Sugar Free,FrostBite,Sugar Free,Frozen Foods,Mexico,1.34,18.18,Yes,3.3,142,Yes,130.2,2.8,19.3,13.4,3.4,1.4,1071.0
120,SKU-000120,PetPerfect Hamster Food Gluten Free,PetPerfect,Gluten Free,Pet Supplies,USA,2.02,16.89,Yes,2.6,4886,No,,,,,,,
121,SKU-000121,GlowCare Foot Cream Light,GlowCare,Light,Personal Care & Beauty,Colombia,0.58,17.73,Yes,3.6,1369,No,,,,,,,
122,SKU-000122,TreatStreet Dates Gluten Free,TreatStreet,Gluten Free,Snacks & Confectionery,Canada,0.06,0.53,Yes,3.0,2893,Yes,323.1,14.7,20.8,7.8,9.9,5.5,3.0
123,SKU-000123,WheatWorks White Bread Low Fat,WheatWorks,Low Fat,Bakery & Bread,UK,1.29,8.48,No,3.4,3444,Yes,264.0,5.0,2.4,13.3,6.9,5.3,604.0
124,SKU-000124,GlobalTable Soy Sauce Natural,GlobalTable,Natural,Pantry & Dry Goods,South Africa,0.55,6.02,Yes,3.6,1535,Yes,760.1,19.2,54.4,4.1,146.7,7.3,1075.0
125,SKU-000125,FlowDrink Sports Drink Sugar Free,FlowDrink,Sugar Free,Beverages,USA,1.44,0.74,Yes,3.1,4121,Yes,25.5,4.3,4.8,0.3,0.4,0.1,145.0
126,SKU-000126,SunHarvest Kale Spicy,SunHarvest,Spicy,Fruits & Vegetables,Germany,3.87,7.93,No,4.9,3256,Yes,41.0,4.0,14.3,1.3,2.5,0.0,785.0
127,SKU-000127,GlobalTable Black Pepper Natural,GlobalTable,Natural,Pantry & Dry Goods,France,2.41,2.25,Yes,3.9,269,Yes,867.4,9.6,17.2,73.2,26.4,7.0,970.0
128,SKU-000128,GoldenCrust Dinner Roll Natural,GoldenCrust,Natural,Bakery & Bread,Japan,0.42,3.91,Yes,3.2,440,Yes,249.1,8.2,9.9,9.7,13.8,9.2,599.0
129,SKU-000129,SweetBite Potato Chips Original,SweetBite,Original,Snacks & Confectionery,Spain,0.7,2.84,No,3.1,3781,Yes,370.5,4.0,60.6,30.3,9.1,7.1,833.0
130,SKU-000130,GreenLeaf Banana Low Fat,GreenLeaf,Low Fat,Fruits & Vegetables,Colombia,1.05,4.55,Yes,2.9,4243,Yes,52.1,1.4,10.4,0.1,8.6,6.6,128.0
131,SKU-000131,PureBaby Baby Bottle Vegan,PureBaby,Vegan,Baby & Toddler,South Africa,0.85,19.24,Yes,5.0,2050,No,,,,,,,
132,SKU-000132,NaturalPantry Tomato Sauce Value Pack,NaturalPantry,Value Pack,Pantry & Dry Goods,France,4.08,82.04,Yes,4.5,2866,Yes,23.0,21.4,44.4,34.5,3.6,0.5,228.0
133,SKU-000133,GreenLeaf Tomato Low Fat,GreenLeaf,Low Fat,Fruits & Vegetables,Brazil,4.64,4.77,Yes,3.5,278,Yes,88.1,1.1,2.2,1.5,11.4,5.9,1164.0
134,SKU-000134,NaturBeauty Foot Cream Mini,NaturBeauty,Mini,Personal Care & Beauty,Italy,0.6,19.38,Yes,4.0,3611,No,,,,,,,
135,SKU-000135,MeadowMeats Chicken Thigh Multipack,MeadowMeats,Multipack,Meat & Seafood,Australia,1.77,32.02,Yes,3.5,1077,Yes,158.6,27.2,0.1,15.1,2.3,1.4,688.0
136,SKU-000136,ArtisanLoaf Naan Gluten Free,ArtisanLoaf,Gluten Free,Bakery & Bread,Germany,0.22,2.11,Yes,2.6,2902,Yes,323.7,7.7,14.8,14.2,11.1,0.2,744.0
137,SKU-000137,ChargePro USB Cable Gluten Free,ChargePro,Gluten Free,Electronics & Batteries,Australia,0.69,25.26,Yes,4.6,1044,No,,,,,,,
138,SKU-000138,SeaSelect Crab Premium,SeaSelect,Premium,Meat & Seafood,Peru,1.35,38.56,Yes,3.9,1433,Yes,150.4,17.7,0.0,21.6,0.8,0.1,1106.0
139,SKU-000139,OrganicGrove Watermelon Vegan,OrganicGrove,Vegan,Fruits & Vegetables,Greece,2.6,11.99,Yes,3.8,98,Yes,37.2,0.7,13.6,1.4,2.7,0.3,599.0
140,SKU-000140,GentleStart Sippy Cup Premium,GentleStart,Premium,Baby & Toddler,Poland,2.13,6.22,No,2.9,396,No,,,,,,,
141,SKU-000141,SunHarvest Grapes Value Pack,SunHarvest,Value Pack,Fruits & Vegetables,Thailand,1.64,9.52,Yes,3.5,932,Yes,87.7,1.5,10.9,0.8,10.7,2.4,451.0
142,SKU-000142,SweetBite Walnuts Light,SweetBite,Light,Snacks & Confectionery,India,0.69,15.74,Yes,2.9,1347,Yes,324.1,11.5,32.9,49.5,4.0,0.2,595.0
143,SKU-000143,KitchenEssentials Basil Gluten Free,KitchenEssentials,Gluten Free,Pantry & Dry Goods,Canada,2.9,29.73,Yes,3.0,4676,Yes,893.6,21.2,28.4,49.8,4.7,4.3,653.0
144,SKU-000144,GoldenCrust Cornbread Family Pack,GoldenCrust,Family Pack,Bakery & Bread,Australia,0.76,3.6,Yes,3.3,3639,Yes,395.0,9.0,11.8,11.8,12.1,4.7,1172.0
145,SKU-000145,OrganicGrove Asparagus Gluten Free,OrganicGrove,Gluten Free,Fruits & Vegetables,Poland,2.17,8.7,Yes,5.0,680,Yes,79.9,1.5,11.3,0.5,4.4,2.2,504.0
146,SKU-000146,ChargePro USB Cable Vegan,ChargePro,Vegan,Electronics & Batteries,Germany,0.52,40.38,Yes,4.3,704,No,,,,,,,
